from,to,length,path
N038,N161,2980.60861189,"['N038', 'N070', 'N098', 'N161']"
N038,N176,3210.2450156200002,"['N038', 'N070', 'N098', 'N159', 'N176']"
N038,N177,3024.83103302,"['N038', 'N070', 'N142', 'N177']"
N040,N021,1723.8508898999999,"['N040', 'N034', 'N031', 'N024', 'N021']"
N040,N024,1147.1844522,"['N040', 'N034', 'N031', 'N024']"
N040,N029,1460.8499388999999,"['N040', 'N051', 'N036', 'N029']"
N040,N031,547.7329764,"['N040', 'N034', 'N031']"
N040,N026,1230.4927245,"['N040', 'N034', 'N031', 'N026']"
N040,N036,933.1145771999999,"['N040', 'N051', 'N036']"
N040,N034,197.8344554,"['N040', 'N034']"
N040,N047,1341.6889460999998,"['N040', 'N051', 'N047']"
N040,N051,528.3651057,"['N040', 'N051']"
N040,N038,214.40738713000002,"['N040', 'N038']"
N040,N040,0.0,
N040,N056,371.43948036,"['N040', 'N056']"
N040,N054,730.81173883,"['N040', 'N038', 'N054']"
N040,N050,1129.5061062300001,"['N040', 'N038', 'N050']"
N040,N068,1046.4441333999998,"['N040', 'N051', 'N068']"
N040,N063,430.84143471000004,"['N040', 'N063']"
N040,N070,770.22894725,"['N040', 'N056', 'N070']"
N040,N082,1699.2132403299997,"['N040', 'N038', 'N054', 'N082']"
N040,N124,2548.53628137,"['N040', 'N051', 'N068', 'N124']"
N040,N104,1266.6345834400001,"['N040', 'N104']"
N040,N098,1014.92575336,"['N040', 'N063', 'N098']"
N040,N084,1459.4238676199998,"['N040', 'N056', 'N070', 'N084']"
N040,N142,2193.17891915,"['N040', 'N063', 'N142']"
N040,N159,2416.74912601,"['N040', 'N063', 'N159']"
N040,N161,2802.5370905799996,"['N040', 'N063', 'N161']"
N040,N176,3032.17349431,"['N040', 'N063', 'N159', 'N176']"
N040,N177,3188.06970765,"['N040', 'N063', 'N142', 'N177']"
N056,N021,2095.29037026,"['N056', 'N040', 'N034', 'N031', 'N024', 'N021']"
N056,N024,1518.62393256,"['N056', 'N040', 'N034', 'N031', 'N024']"
N056,N029,1321.90169326,"['N056', 'N051', 'N036', 'N029']"
N056,N031,919.1724567599999,"['N056', 'N040', 'N034', 'N031']"
N056,N026,1601.93220486,"['N056', 'N040', 'N034', 'N031', 'N026']"
N056,N036,794.16633156,"['N056', 'N051', 'N036']"
N056,N034,569.27393576,"['N056', 'N040', 'N034']"
N056,N047,1202.74070046,"['N056', 'N051', 'N047']"
N056,N051,389.41686006,"['N056', 'N051']"
N056,N038,370.59346859,"['N056', 'N038']"
N056,N040,371.43948036,"['N056', 'N040']"
N056,N056,0.0,
N056,N054,422.82323178999997,"['N056', 'N054']"
N056,N050,824.45866139,"['N056', 'N054', 'N050']"
N056,N068,907.49588776,"['N056', 'N051', 'N068']"
N056,N063,268.77387779000003,"['N056', 'N063']"
N056,N070,398.78946689,"['N056', 'N070']"
N056,N082,1391.22473329,"['N056', 'N054', 'N082']"
N056,N124,2409.58803573,"['N056', 'N051', 'N068', 'N124']"
N056,N104,1122.53593397,"['N056', 'N063', 'N104']"
N056,N098,803.21883985,"['N056', 'N098']"
N056,N084,1087.9843872600002,"['N056', 'N070', 'N084']"
N056,N142,1832.82841811,"['N056', 'N070', 'N142']"
N056,N159,2254.6815690900003,"['N056', 'N063', 'N159']"
N056,N161,2640.46953366,"['N056', 'N063', 'N161']"
N056,N176,2870.1059373900002,"['N056', 'N063', 'N159', 'N176']"
N056,N177,2827.71920661,"['N056', 'N070', 'N142', 'N177']"
N054,N021,2027.4476794,"['N054', 'N026', 'N021']"
N054,N024,1877.9961910299999,"['N054', 'N038', 'N040', 'N034', 'N031', 'N024']"
N054,N029,1744.72492505,"['N054', 'N056', 'N051', 'N036', 'N029']"
N054,N031,1278.54471523,"['N054', 'N038', 'N040', 'N034', 'N031']"
N054,N026,1434.5103852,"['N054', 'N026']"
N054,N036,1216.98956335,"['N054', 'N056', 'N051', 'N036']"
