condition,nodes,edges,length,objVal,calcTime
N021_N159_15000_F,"['N051', 'N036', 'N024', 'N176', 'N104', 'N161', 'N084', 'N050', 'N054', 'N034', 'N082', 'N142', 'N031', 'N026', 'N159', 'N029', 'N177', 'N021', 'N124', 'N038', 'N098']","[3, 6, 11, 16, 20, 24, 29, 34, 39, 46, 54, 55, 60, 62, 77, 91, 92, 100, 106, 126, 132]",14535.99789829,68.8592718,0.5425009727478027
N124_N021_spath,"['N124', 'N068', 'N036', 'N031', 'N024', 'N021']","[27, 53, 73, 105, 107]",3778.48423607,0.00483207,0
N124_N021_5000_F,"['N034', 'N051', 'N040', 'N024', 'N021', 'N124', 'N038', 'N031', 'N068']","[27, 77, 95, 105, 107, 114, 123, 125]",4701.201945530001,3.52130081,0.6000919342041016
N124_N021_7500_F,"['N034', 'N051', 'N036', 'N024', 'N084', 'N021', 'N124', 'N038', 'N031', 'N054', 'N104', 'N029', 'N098']","[10, 28, 38, 47, 67, 76, 90, 93, 101, 107, 127, 133]",7490.043308980001,11.640103220000002,1.3037159442901611
N124_N021_10000_F,"['N161', 'N177', 'N082', 'N021', 'N084', 'N142', 'N176', 'N050', 'N124', 'N026', 'N054', 'N104', 'N098']","[3, 7, 10, 16, 24, 34, 38, 41, 55, 57, 60, 65]",9964.956515270002,28.59107909,0.5674850940704346
N124_N021_12500_F,"['N034', 'N161', 'N177', 'N051', 'N082', 'N036', 'N084', 'N142', 'N024', 'N176', 'N050', 'N021', 'N124', 'N038', 'N026', 'N031', 'N054', 'N029']","[3, 7, 9, 16, 24, 34, 47, 55, 61, 63, 80, 90, 93, 101, 104, 123, 133]",12360.335134019999,42.74290776,0.6620628833770752
N124_N021_15000_F,"['N036', 'N024', 'N176', 'N104', 'N161', 'N084', 'N050', 'N054', 'N034', 'N082', 'N040', 'N142', 'N031', 'N026', 'N029', 'N177', 'N021', 'N124', 'N038']","[3, 7, 9, 16, 24, 28, 29, 34, 47, 55, 61, 63, 75, 80, 101, 104, 121, 124, 133]",14975.379379260004,59.19959689000001,0.7392849922180176
N124_N031_spath,"['N124', 'N068', 'N036', 'N031']","[27, 53, 73]",2602.36632257,0.0,0
N124_N031_5000_F,"['N034', 'N040', 'N084', 'N124', 'N038', 'N031', 'N054', 'N104', 'N098']","[10, 28, 38, 67, 77, 121, 124, 133]",4469.4225247800005,3.10271612,0.5184669494628906
N124_N031_7500_F,"['N034', 'N161', 'N177', 'N084', 'N142', 'N176', 'N124', 'N038', 'N031', 'N054']","[3, 9, 16, 24, 34, 67, 77, 123, 133]",7258.851178450001,14.314286509999999,0.38295602798461914
N124_N031_10000_F,"['N034', 'N161', 'N177', 'N082', 'N084', 'N142', 'N176', 'N050', 'N124', 'N038', 'N031', 'N054', 'N104', 'N098']","[3, 7, 10, 16, 24, 34, 38, 41, 61, 63, 77, 123, 133]",9742.91062535,29.16481627,0.488353967666626
N124_N031_12500_F,"['N034', 'N161', 'N177', 'N051', 'N082', 'N036', 'N084', 'N142', 'N024', 'N176', 'N050', 'N021', 'N124', 'N038', 'N026', 'N031', 'N054', 'N029']","[3, 7, 9, 16, 24, 34, 47, 54, 61, 63, 81, 90, 93, 101, 107, 123, 133]",12337.550095919996,46.480596,0.8112671375274658
N124_N031_15000_F,"['N034', 'N161', 'N177', 'N082', 'N036', 'N084', 'N142', 'N024', 'N176', 'N050', 'N021', 'N124', 'N038', 'N026', 'N031', 'N054', 'N104', 'N029']","[3, 7, 9, 16, 24, 28, 29, 34, 47, 54, 61, 63, 75, 81, 101, 107, 123, 133]",14952.594341160002,62.601893970000006,1.844702959060669
N124_N054_spath,"['N124', 'N104', 'N063', 'N056', 'N054']","[28, 69, 109, 112]",2937.4552558300006,0.0,0
N124_N054_5000_F,"['N034', 'N051', 'N036', 'N040', 'N124', 'N038', 'N031', 'N068', 'N054', 'N104']","[28, 31, 73, 76, 93, 95, 120, 125, 132]",4935.6323403,4.5231431099999995,0.5487258434295654
N124_N054_7500_F,"['N161', 'N177', 'N082', 'N084', 'N142', 'N176', 'N050', 'N124', 'N054']","[3, 7, 9, 16, 24, 34, 61, 63]",7462.484596189999,22.02342479,0.38493990898132324
