from,to,length,path
19,105,7951,"[19, 20, 34, 36, 52, 54, 73, 72, 89, 88, 105]"
19,106,7613,"[19, 20, 34, 36, 52, 54, 73, 72, 89, 88, 106]"
19,108,8216,"[19, 20, 34, 36, 52, 54, 73, 72, 89, 88, 106, 108]"
19,109,7494,"[19, 20, 34, 36, 52, 54, 73, 72, 89, 91, 109]"
19,110,7023,"[19, 20, 34, 36, 52, 54, 74, 90, 92, 110]"
19,111,8160,"[19, 20, 34, 36, 52, 54, 73, 72, 89, 91, 109, 111]"
19,112,7732,"[19, 20, 34, 36, 52, 54, 74, 90, 92, 110, 112]"
19,116,746,"[19, 116]"
19,117,782,"[19, 117]"
19,118,1687,"[19, 117, 118]"
19,119,1824,"[19, 117, 119]"
19,120,1847,"[19, 117, 120]"
19,121,3006,"[19, 117, 120, 121]"
19,122,2743,"[19, 117, 120, 122]"
19,123,2626,"[19, 117, 120, 123]"
19,124,2908,"[19, 117, 120, 124]"
19,125,3094,"[19, 21, 35, 37, 125]"
19,126,3294,"[19, 117, 120, 122, 126]"
19,127,3834,"[19, 21, 35, 37, 56, 127]"
19,129,3651,"[19, 117, 120, 124, 129]"
19,131,4389,"[19, 21, 35, 37, 56, 58, 131]"
19,135,4805,"[19, 117, 120, 122, 126, 135]"
20,10,1658,"[20, 19, 10]"
20,17,987,"[20, 17]"
20,18,881,"[20, 18]"
20,19,836,"[20, 19]"
20,20,0,
20,21,974,"[20, 21]"
20,29,2583,"[20, 29]"
20,32,2123,"[20, 32]"
20,33,1612,"[20, 34, 33]"
20,34,544,"[20, 34]"
20,35,1271,"[20, 35]"
20,36,1170,"[20, 34, 36]"
20,37,1565,"[20, 34, 37]"
20,46,4437,"[20, 29, 47, 46]"
20,47,3521,"[20, 29, 47]"
20,48,3175,"[20, 34, 33, 51, 48]"
20,49,4043,"[20, 34, 33, 51, 48, 49]"
20,50,3467,"[20, 34, 33, 51, 50]"
20,51,2480,"[20, 34, 33, 51]"
20,52,2126,"[20, 34, 36, 52]"
20,53,3027,"[20, 34, 36, 52, 53]"
20,54,2626,"[20, 34, 36, 52, 54]"
20,55,1894,"[20, 34, 36, 55]"
20,56,2389,"[20, 34, 37, 56]"
20,57,2703,"[20, 34, 36, 55, 57]"
20,58,3008,"[20, 34, 36, 55, 58]"
20,66,5069,"[20, 29, 47, 46, 66]"
20,68,5317,"[20, 34, 33, 51, 50, 69, 68]"
20,69,4562,"[20, 34, 33, 51, 50, 69]"
20,70,4262,"[20, 34, 33, 51, 50, 70]"
20,71,5068,"[20, 34, 33, 51, 50, 70, 71]"
20,72,4626,"[20, 34, 36, 52, 54, 73, 72]"
20,73,3593,"[20, 34, 36, 52, 54, 73]"
20,74,3120,"[20, 34, 36, 52, 54, 74]"
20,76,3719,"[20, 34, 36, 52, 54, 74, 76]"
20,77,3698,"[20, 34, 36, 55, 57, 77]"
20,78,3854,"[20, 34, 36, 55, 58, 78]"
20,79,3891,"[20, 34, 36, 52, 54, 74, 79]"
20,80,4492,"[20, 34, 36, 52, 54, 74, 79, 80]"
20,85,6269,"[20, 34, 33, 51, 50, 69, 68, 85]"
20,86,6159,"[20, 34, 33, 51, 50, 69, 68, 86]"
20,88,6213,"[20, 34, 36, 52, 54, 73, 72, 89, 88]"
20,89,5382,"[20, 34, 36, 52, 54, 73, 72, 89]"
20,90,4867,"[20, 34, 36, 52, 54, 74, 90]"
20,91,6013,"[20, 34, 36, 52, 54, 73, 72, 89, 91]"
20,92,5617,"[20, 34, 36, 52, 54, 74, 90, 92]"
20,93,4761,"[20, 34, 36, 52, 54, 74, 93]"
20,94,4705,"[20, 34, 36, 52, 54, 74, 76, 94]"
20,95,7578,"[20, 34, 36, 52, 54, 74, 76, 94, 96, 95]"
20,96,5202,"[20, 34, 36, 52, 54, 74, 76, 94, 96]"
20,97,4905,"[20, 34, 36, 52, 54, 74, 79, 97]"
20,104,8321,"[20, 34, 36, 52, 54, 73, 72, 89, 88, 105, 104]"
20,105,7115,"[20, 34, 36, 52, 54, 73, 72, 89, 88, 105]"
20,106,6777,"[20, 34, 36, 52, 54, 73, 72, 89, 88, 106]"
20,108,7380,"[20, 34, 36, 52, 54, 73, 72, 89, 88, 106, 108]"
20,109,6658,"[20, 34, 36, 52, 54, 73, 72, 89, 91, 109]"
20,110,6187,"[20, 34, 36, 52, 54, 74, 90, 92, 110]"
20,111,7324,"[20, 34, 36, 52, 54, 73, 72, 89, 91, 109, 111]"
20,112,6896,"[20, 34, 36, 52, 54, 74, 90, 92, 110, 112]"
20,116,1582,"[20, 19, 116]"
20,117,1592,"[20, 21, 117]"
