from,to,value
52,36,0
52,37,0
52,46,0
52,47,0
52,48,0
52,49,0.277042369
52,50,0.197887407
52,51,0.908785654
52,52,0
52,53,0.277042369
52,54,0
52,55,1.135470045
52,56,0.197887407
52,57,0.435352295
52,58,0.474929776
52,66,0.158309925
52,68,0.039577481
52,69,0.079154963
52,70,0.158309925
52,71,0
52,72,0
52,73,1.068591996
52,74,0.395774813
52,76,0
52,77,0.712394664
52,78,0.313080623
52,79,0
52,80,0.395774813
52,85,0
52,86,0.039577481
52,88,0
52,89,0.079154963
52,90,0
52,91,0.118732444
52,92,0.356197332
52,93,0
52,94,0.237464888
52,95,0.158309925
52,96,0.039577481
52,97,0
52,104,0
52,105,0
52,106,0.039577481
52,108,0
52,109,0.791549627
52,110,0.872977577
52,111,0.039577481
52,112,0
52,116,0
52,117,0
52,118,0.277042369
52,119,0
52,120,0.356197332
52,121,0
52,122,0
52,123,0.118732444
52,124,0.118732444
52,125,0
52,126,0
52,127,0
52,129,0
52,131,0
52,135,0.237464888
53,10,0
53,17,0.024606368
53,18,0
53,19,0
53,20,0
53,21,0.110728657
53,29,0
53,32,0.054026335
53,33,0.024606368
53,34,0.362017577
53,35,0.123628826
53,36,0
53,37,0
53,46,0
53,47,0
53,48,0
53,49,0.086122288
53,50,0.06151592
53,51,0.282508052
53,52,0.049212736
53,53,0
53,54,0
53,55,0.352975896
53,56,0.06151592
53,57,0.135335025
53,58,0.147638209
53,66,0.049212736
53,68,0.012303184
53,69,0.024606368
53,70,0.049212736
53,71,0
53,72,0
53,73,0.33218597
53,74,0.123031841
53,76,0
53,77,0.221457313
53,78,0.097325257
53,79,0
53,80,0.123031841
53,85,0
53,86,0.012303184
53,88,0
53,89,0.024606368
53,90,0
53,91,0.036909552
53,92,0.110728657
53,93,0
53,94,0.073819104
53,95,0.049212736
53,96,0.012303184
53,97,0
53,104,0
53,105,0
53,106,0.012303184
53,108,0
53,109,0.246063681
53,110,0.271376638
53,111,0.012303184
53,112,0
53,116,0
53,117,0
53,118,0.086122288
53,119,0
53,120,0.110728657
53,121,0
53,122,0
53,123,0.036909552
53,124,0.036909552
53,125,0
53,126,0
53,127,0
53,129,0
53,131,0
53,135,0.073819104
54,10,0
54,17,0.057542817
54,18,0
54,19,0
54,20,0
54,21,0.258942677
54,29,0
54,32,0.126342396
54,33,0.057542817
54,34,0.846590247
54,35,0.289110156
54,36,0
54,37,0
54,46,0
54,47,0
54,48,0
54,49,0.20139986
54,50,0.143857043
54,51,0.660654556
54,52,0.115085634
54,53,0.20139986
54,54,0
54,55,0.825445973
54,56,0.143857043
54,57,0.316485495
54,58,0.345256903
54,66,0.115085634
54,68,0.028771409
54,69,0.057542817
54,70,0.115085634
54,71,0
54,72,0
54,73,0.776828032
54,74,0.287714086
54,76,0
54,77,0.517885355
54,78,0.227598378
54,79,0
54,80,0.287714086
54,85,0
54,86,0.028771409
54,88,0
54,89,0.057542817
54,90,0
54,91,0.086314226
54,92,0.258942677
54,93,0
54,94,0.172628452
54,95,0.115085634
54,96,0.028771409
54,97,0
54,104,0
54,105,0
54,106,0.028771409
54,108,0
54,109,0.575428172
54,110,0.634623369
54,111,0.028771409
54,112,0
54,116,0
54,117,0
54,118,0.20139986
54,119,0
54,120,0.258942677
54,121,0
54,122,0
54,123,0.086314226
54,124,0.086314226
54,125,0
54,126,0
54,127,0
54,129,0
54,131,0
54,135,0.172628452
55,10,0
55,17,0.051016947
55,18,0
55,19,0
55,20,0
55,21,0.229576263
55,29,0
55,32,0.112014039
55,33,0.051016947
55,34,0.750579345
