source,target,weight,path
123,122,1012,"[123, 122]"
123,124,602,"[123, 124]"
124,120,1061,"[124, 120]"
124,122,904,"[124, 122]"
124,123,602,"[124, 123]"
124,126,1272,"[124, 126]"
124,129,743,"[124, 129]"
125,37,1120,"[125, 37]"
125,56,741,"[125, 56]"
125,58,1091,"[125, 58]"
125,121,425,"[125, 121]"
125,122,1086,"[125, 122]"
125,126,866,"[125, 126]"
125,127,791,"[125, 127]"
125,135,1984,"[125, 135]"
126,121,701,"[126, 121]"
126,122,551,"[126, 122]"
126,124,1272,"[126, 124]"
126,125,866,"[126, 125]"
126,127,903,"[126, 127]"
126,129,943,"[126, 129]"
126,135,1511,"[126, 135]"
127,56,1036,"[127, 56]"
127,58,821,"[127, 58]"
127,78,932,"[127, 78]"
127,125,791,"[127, 125]"
127,126,903,"[127, 126]"
127,131,586,"[127, 131]"
127,135,1746,"[127, 135]"
129,122,951,"[129, 122]"
129,124,743,"[129, 124]"
129,126,943,"[129, 126]"
129,135,1715,"[129, 135]"
131,58,853,"[131, 58]"
131,78,756,"[131, 78]"
131,80,1223,"[131, 80]"
131,127,586,"[131, 127]"
131,135,1508,"[131, 135]"
135,80,2727,"[135, 80]"
135,96,4580,"[135, 96]"
135,125,1984,"[135, 125]"
135,126,1511,"[135, 126]"
135,127,1746,"[135, 127]"
135,129,1715,"[135, 129]"
135,131,1508,"[135, 131]"
